server,mean,median,std_dev,outliers
http://server3:8083/,1.7509190023702104e-05,1.3207998563302681e-05,3.609608362276705e-05,"[0.00016970800061244518, 0.0007521250008721836, 0.00019541700021363795]"
http://server2:8082/,1.951599798485404e-05,1.3124999895808287e-05,3.773222362577418e-05,"[0.00014737500168848783, 0.0004724589998659212, 0.00014929099779692478, 0.00027320799927110784, 0.00036254200313123874, 0.00044474999958765693, 0.00021454200032167137]"
http://server1:8081/,1.7632403993047772e-05,1.2312499166000634e-05,4.4732512147560856e-05,"[0.0008444170016446151, 0.00047991599785746075, 0.0002557090010668617]"
http://server4:8084/,1.6471757953695486e-05,1.3791501260129735e-05,1.4513576421169524e-05,"[7.170800017775036e-05, 0.00010466700041433796, 8.245799836004153e-05, 9.641599899623543e-05, 0.00023458400028175674, 6.362500062095933e-05, 7.87919998401776e-05]"
http://server5:8085/,1.6202730090299156e-05,1.3353999747778289e-05,1.430885378220308e-05,"[7.037500108708628e-05, 7.225000081234612e-05, 9.32080001803115e-05, 8.024999988265336e-05, 5.929200051468797e-05, 8.887500007404014e-05, 0.0001695829996606335, 0.00016741600120440125, 8.05000017862767e-05]"
